DUID;Parent;LocalID;TypeData
55;Pow.Out12M;SwitchOn;Method
56;Pow.Out12M;SwitchOff;Method
70;Pow.Out12M;OutStatus;Event
71;Pow.Out12M;OnRequestPowData;Method
72;Pow.Out12F;OnCh1;Variable
73;Pow.Out12F;OnCh2;Variable
74;Pow.Out12F;OnCh3;Variable
75;Pow.Out12F;OnCh4;Variable
76;Pow.Out12F;OnCh5;Variable
77;Pow.Out12F;OnCh6;Variable
78;Pow.Out12F;OnCh7;Variable
79;Pow.Out12F;OnCh8;Variable
80;Pow.Out12F;OnOffCh;Variable
81;Pow.Out12F;SwitchOn;Method
82;Pow.Out12F;SwitchOff;Method
96;Pow.Out12F;OutStatus;Event
97;Pow.Out12F;OnRequestPowData;Method
98;Pow.Out12A;OnCh1;Variable
99;Pow.Out12A;OnCh2;Variable
100;Pow.Out12A;OnCh3;Variable
101;Pow.Out12A;OnCh4;Variable
102;Pow.Out12A;OnCh5;Variable
103;Pow.Out12A;OnCh6;Variable
104;Pow.Out12A;OnCh7;Variable
105;Pow.Out12A;OnCh8;Variable
106;Pow.Out12A;OnOffCh;Variable
107;Pow.Out12A;SwitchOn;Method
108;Pow.Out12A;SwitchOff;Method
122;Pow.Out12A;OutStatus;Event
123;Pow.Out12A;OnRequestPowData;Method
124;Pow.Out24M;OnCh1;Variable
125;Pow.Out24M;OnCh2;Variable
126;Pow.Out24M;OnCh3;Variable
127;Pow.Out24M;OnCh4;Variable
128;Pow.Out24M;OnCh5;Variable
129;Pow.Out24M;OnCh6;Variable
130;Pow.Out24M;OnCh7;Variable
131;Pow.Out24M;OnCh8;Variable
132;Pow.Out24M;OnOffCh;Variable
133;Pow.Out24M;SwitchOn;Method
134;Pow.Out24M;SwitchOff;Method
148;Pow.Out24M;OutStatus;Event
149;Pow.Out24M;OnRequestPowData;Method
150;Pow.Out24F;OnCh1;Variable
151;Pow.Out24F;OnCh2;Variable
152;Pow.Out24F;OnCh3;Variable
153;Pow.Out24F;OnCh4;Variable
154;Pow.Out24F;OnCh5;Variable
155;Pow.Out24F;OnCh6;Variable
156;Pow.Out24F;OnCh7;Variable
157;Pow.Out24F;OnCh8;Variable
158;Pow.Out24F;OnOffCh;Variable
159;Pow.Out24F;SwitchOn;Method
160;Pow.Out24F;SwitchOff;Method
174;Pow.Out24F;OutStatus;Event
175;Pow.Out24F;OnRequestPowData;Method
176;Pow.Out24A;OnCh1;Variable
177;Pow.Out24A;OnCh2;Variable
178;Pow.Out24A;OnCh3;Variable
179;Pow.Out24A;OnCh4;Variable
180;Pow.Out24A;OnCh5;Variable
181;Pow.Out24A;OnCh6;Variable
182;Pow.Out24A;OnCh7;Variable
183;Pow.Out24A;OnCh8;Variable
184;Pow.Out24A;OnOffCh;Variable
185;Pow.Out24A;SwitchOn;Method
186;Pow.Out24A;SwitchOff;Method
200;Pow.Out24A;OutStatus;Event
201;Pow.Out24A;OnRequestPowData;Method
202;Pow.Out220M;OnCh1;Variable
203;Pow.Out220M;OnCh2;Variable
204;Pow.Out220M;OnCh3;Variable
205;Pow.Out220M;OnCh4;Variable
206;Pow.Out220M;OnCh5;Variable
207;Pow.Out220M;OnCh6;Variable
208;Pow.Out220M;OnCh7;Variable
209;Pow.Out220M;OnCh8;Variable
210;Pow.Out220M;OnOffCh;Variable
211;Pow.Out220M;SwitchOn;Method
212;Pow.Out220M;SwitchOff;Method
226;Pow.Out220M;OutStatus;Event
227;Pow.Out220M;OnRequestPowData;Method
228;Pow.Out220F;OnCh1;Variable
229;Pow.Out220F;OnCh2;Variable
230;Pow.Out220F;OnCh3;Variable
231;Pow.Out220F;OnCh4;Variable
232;Pow.Out220F;OnCh5;Variable
233;Pow.Out220F;OnCh6;Variable
234;Pow.Out220F;OnCh7;Variable
235;Pow.Out220F;OnCh8;Variable
236;Pow.Out220F;OnOffCh;Variable
237;Pow.Out220F;SwitchOn;Method
238;Pow.Out220F;SwitchOff;Method
252;Pow.Out220F;OutStatus;Event
253;Pow.Out220F;OnRequestPowData;Method
254;Pow.Out220A;OnCh1;Variable
255;Pow.Out220A;OnCh2;Variable
256;Pow.Out220A;OnCh3;Variable
257;Pow.Out220A;OnCh4;Variable
258;Pow.Out220A;OnCh5;Variable
259;Pow.Out220A;OnCh6;Variable
260;Pow.Out220A;OnCh7;Variable
261;Pow.Out220A;OnCh8;Variable
262;Pow.Out220A;OnOffCh;Variable
263;Pow.Out220A;SwitchOn;Method
264;Pow.Out220A;SwitchOff;Method
265;Pow.Out220A;OutStatus;Event
266;Pow.Out220A;OnRequestPowData;Method
280;Steer.ApM;RudderAngleMeas;Variable
281;Steer.ApM;FrontThrustMeas;Variable
282;Steer.ApM;RateOfTurnMeas;Variable
283;Steer.ApM;HeadingMeas;Variable
284;Steer.ApM;FrontThrustRef;Variable
285;Steer.ApM;OnChangeRef;Event
286;Steer.ApM;HeadingRef;Variable
287;Steer.ApM;RateOfTurnRef;Variable
288;Steer.ApM;RudderAngleRef;Variable
289;Steer.ApM;OnRequestSteerData;Method
290;Steer.ApM;OnChangeCompass;Event
291;Steer.ApM;OnChangeRudder;Event
292;Steer.ApM;OnChangeThrust;Event
293;Steer.ApM;EngineRpmMeas;Variable
294;Steer.ApM;EngineRpmRef;Variable
295;Steer.ApM;OnChangeEngine;Event
296;Steer.ApA;RudderAngleMeas;Variable
297;Steer.ApA;FrontThrustMeas;Variable
298;Steer.ApA;RateOfTurnMeas;Variable
299;Steer.ApA;HeadingMeas;Variable
300;Steer.ApA;FrontThrustRef;Variable
301;Steer.ApA;OnChangeRef;Event
302;Steer.ApA;HeadingRef;Variable
303;Steer.ApA;RateOfTurnRef;Variable
304;Steer.ApA;RudderAngleRef;Variable
305;Steer.ApA;OnRequestSteerData;Method
306;Steer.ApA;OnChangeCompass;Event
307;Steer.ApA;OnChangeRudder;Event
308;Steer.ApA;OnChangeThrust;Event
309;Steer.ApA;EngineRpmMeas;Variable
310;Steer.ApA;EngineRpmRef;Variable
311;Steer.ApA;OnChangeEngine;Event
312;Steer.CpM;ActiveStationSteer;Variable
313;Steer.CpM;StationModeSteer;Variable
314;Steer.CpM;TakeCommandSteer;Method
315;Steer.CpM;ReleaseCommandSteer;Method
316;Steer.CpM;OnChangeCommandSteer;Event
317;Steer.CpM;ModeDp;Method
318;Steer.CpM;ModeRiver;Method
319;Steer.CpM;ModeTrack;Method
320;Steer.CpM;ModeWork;Method
321;Steer.CpM;ModeAuto;Method
322;Steer.CpM;ModeStandby;Method
323;Steer.CpM;SteerMode;Variable
324;Steer.CpM;OnChangeSteerMode;Event
325;Steer.CpM;LeftSmall;Method
326;Steer.CpM;MidZero;Method
327;Steer.CpM;RightSmall;Method
328;Steer.CpM;LeftBig;Method
329;Steer.CpM;RightBig;Method
330;Steer.CpM;EncoderNumber;Method
331;Steer.CpA;ActiveStationSteer;Variable
332;Steer.CpA;StationModeSteer;Variable
333;Steer.CpA;TakeCommandSteer;Method
334;Steer.CpA;ReleaseCommandSteer;Method
335;Steer.CpA;OnChangeCommandSteer;Event
336;Steer.CpA;ModeDp;Method
337;Steer.CpA;ModeRiver;Method
338;Steer.CpA;ModeTrack;Method
339;Steer.CpA;ModeWork;Method
340;Steer.CpA;ModeAuto;Method
341;Steer.CpA;ModeStandby;Method
342;Steer.CpA;SteerMode;Variable
343;Steer.CpA;OnChangeSteerMode;Event
344;Steer.CpA;LeftSmall;Method
345;Steer.CpA;MidZero;Method
346;Steer.CpA;RightSmall;Method
347;Steer.CpA;LeftBig;Method
348;Steer.CpA;RightBig;Method
349;Steer.CpA;EncoderNumber;Method
350;Batt.Dc12;BattAmpM;Variable
351;Batt.Dc12;BattAmpF;Variable
352;Batt.Dc12;BattAmpA;Variable
353;Batt.Dc24;BattAmpM;Variable
354;Batt.Dc24;BattAmpF;Variable
355;Batt.Dc24;BattAmpA;Variable
356;Batt;RequestBattDataOpM;Method
357;Batt;RequestBattDataOpA;Method
358;Batt;RequestDataDc24OpM;Method
